fips,County,State,County-State,Latitude,Longitude,Region,Dem08,Dem12,Dem16,Rep08,Rep12,Rep16,Total08,Total12,Total16,percentDem08,percentDem12,percentDem16,RorD08,RorD12,RorD16,mfgEmp12,mfgEmp16,DrugFR08,DrugFR12,DrugFR16,Obese08,Obese12,Obese16,Pov08,Pov12,Pov16,medInc08,medInc12,medInc16,incomePercent08,incomePercent12,incomePercent16,pop08,pop12,pop16,popCHG08,popCHG12,popCHG16,intMig08,intMig12,intMig16,domMig08,domMig12,domMig16,netMig08,netMig12,netMig16,civLab08,emp08,unemp08,unempR08,civLab12,emp12,unemp12,unempR12,civLab16,emp16,unemp16,unempR16,college,pctBlack,pctAsian,pctHispanic,pctWhite,pctForeign,empQuoMfg12,empQuoMfg16,empQuoTtl2012,empQuoTtl2016,EmpTtl2012,EmpTtl2016,WageMfg2012,WageMfg2016,WageTtl2012,WageTtl2016,C Pop Density,C Land Area,Ydiscuss,YdiscussOppose,YCO2limits,YCO2limitsOppose,YtrustclimsciSST,YtrustclimsciSSTOppose,Yregulate,YregulateOppose,YsupportRPS,YsupportRPSOppose,Yfundrenewables,YfundrenewablesOppose,Yhappening,YhappeningOppose,Yhuman,YhumanOppose,Yconsensus,YconsensusOppose,Yworried,YworriedOppose,Ypersonal,YpersonalOppose,YharmUS,YharmUSOppose,Ydevharm,YdevharmOppose,Yfuturegen,YfuturegenOppose,Yharmplants,YharmplantsOppose,Ytiming,YtimingOppose
1021,Chilton County,AL,"Chilton County, AL",32.852554,-86.68998,Atlantic-S,3397.000,3674.000,2911.000,13932.000,13960.000,15081.000,17485.000,17785.000,18272.000,0.194,0.207,0.159,0,0,0,1649.33,2011.67,11.00,15.00,17.00,0.35,0.37,0.36,0.17,0.18,0.18,40292.00,38833.00,41450.00,0.77,0.77,0.77,43675.00,43693.00,43941.00,44.00,-65.00,132.00,8.00,8.00,13.00,58.00,-140.00,63.00,66.00,-132.00,76.00,19610.00,18618.00,992.00,0.05,19383.00,17982.00,1401.00,0.07,19153.00,18077.00,1076.00,0.06,0.38,0.10,0.00,0.08,0.87,0.05,2.06,2.46,0.95,0.94,7046.00,7540.00,15382258.00,21863858.00,51729099.00,63461697.00,63.00,693.00,0.25,0.40,0.58,0.41,0.61,0.37,0.66,0.33,0.56,0.43,0.76,0.23,0.57,0.21,0.42,0.40,0.35,0.36,0.44,0.56,0.33,0.55,0.48,0.40,0.51,0.34,0.58,0.29,0.57,0.30,0.41,0.58
1023,Choctaw County,AL,"Choctaw County, AL",32.027681,-88.25785,Atlantic-S,3786.000,3636.000,3109.000,4152.000,4223.000,4106.000,7976.000,7894.000,7273.000,0.475,0.461,0.427,0,0,0,0.00,0.00,5.00,9.00,11.00,0.37,0.39,0.41,0.23,0.27,0.25,30728.00,32940.00,35049.00,0.59,0.65,0.65,13840.00,13549.00,12993.00,-18.00,-61.00,-208.00,1.00,0.00,-1.00,-24.00,-20.00,-174.00,-23.00,-20.00,-175.00,5069.00,4646.00,423.00,0.08,4791.00,4297.00,494.00,0.10,4300.00,3918.00,382.00,0.09,0.39,0.43,0.00,0.01,0.58,0.00,0.00,0.00,1.02,1.00,3103.33,2835.67,0.00,0.00,37758347.00,35032065.00,15.20,914.00,0.26,0.42,0.69,0.30,0.69,0.27,0.73,0.25,0.64,0.34,0.79,0.19,0.67,0.11,0.49,0.36,0.43,0.26,0.54,0.46,0.39,0.44,0.55,0.29,0.59,0.23,0.65,0.19,0.65,0.19,0.51,0.48
1025,Clarke County,AL,"Clarke County, AL",31.688155,-87.83416,Atlantic-S,6334.000,5914.000,5749.000,7470.000,7466.000,7140.000,13860.000,13435.000,13005.000,0.457,0.440,0.442,0,0,0,1564.33,1667.33,5.00,7.00,9.00,0.36,0.36,0.38,0.21,0.26,0.25,34101.00,32642.00,36620.00,0.66,0.65,0.68,25762.00,25148.00,24392.00,-71.00,-401.00,-334.00,1.00,6.00,5.00,-81.00,-424.00,-326.00,-80.00,-418.00,-321.00,10351.00,9419.00,932.00,0.09,8374.00,7116.00,1258.00,0.15,8011.00,7118.00,893.00,0.11,0.36,0.44,0.01,0.01,0.56,0.00,2.20,2.36,0.90,0.92,6036.67,6482.33,22319128.00,24191765.00,52421221.00,59312796.00,20.90,1238.00,0.24,0.44,0.63,0.35,0.65,0.31,0.70,0.28,0.60,0.38,0.77,0.22,0.63,0.12,0.45,0.39,0.37,0.28,0.52,0.48,0.38,0.44,0.54,0.30,0.57,0.24,0.62,0.20,0.62,0.21,0.50,0.49
1027,Clay County,AL,"Clay County, AL",33.26581,-85.84285,Atlantic-S,1777.000,1760.000,1237.000,4817.000,4984.000,5245.000,6679.000,6819.000,6591.000,0.266,0.258,0.188,0,0,0,1368.33,1842.67,5.00,7.00,11.00,0.32,0.38,0.37,0.17,0.19,0.20,33032.00,32454.00,35940.00,0.63,0.64,0.67,13882.00,13461.00,13492.00,-50.00,-215.00,-3.00,1.00,-1.00,-1.00,-35.00,-181.00,43.00,-34.00,-182.00,42.00,5733.00,5279.00,454.00,0.08,5413.00,4905.00,508.00,0.09,5558.00,5216.00,342.00,0.06,0.39,0.14,0.00,0.03,0.85,0.02,4.31,5.64,0.86,0.89,2564.00,2869.00,10969113.00,16471066.00,18458083.00,23603673.00,23.10,604.00,0.25,0.41,0.61,0.37,0.63,0.34,0.69,0.30,0.58,0.40,0.77,0.22,0.60,0.18,0.44,0.39,0.37,0.34,0.46,0.54,0.33,0.53,0.49,0.38,0.52,0.32,0.60,0.26,0.59,0.27,0.44,0.56
1029,Cleburne County,AL,"Cleburne County, AL",33.647948,-85.51193,Atlantic-S,971.000,1168.000,684.000,5272.000,5216.000,5764.000,6319.000,6492.000,6558.000,0.154,0.180,0.104,0,0,0,419.00,337.33,9.00,13.00,15.00,0.29,0.30,0.30,0.15,0.17,0.17,37742.00,39153.00,40418.00,0.73,0.78,0.75,14975.00,14928.00,14924.00,3.00,-48.00,-72.00,0.00,-1.00,-1.00,-9.00,-73.00,-51.00,-9.00,-74.00,-52.00,6557.00,6225.00,332.00,0.05,5838.00,5358.00,480.00,0.08,5831.00,5476.00,355.00,0.06,0.37,0.04,0.00,0.02,0.94,0.01,1.98,1.78,0.77,0.74,1486.00,1404.00,3892399.00,3897154.00,13165486.00,16355150.00,26.70,560.00,0.27,0.38,0.60,0.40,0.63,0.36,0.69,0.31,0.58,0.41,0.77,0.22,0.59,0.21,0.44,0.38,0.39,0.36,0.45,0.55,0.32,0.56,0.49,0.41,0.52,0.34,0.59,0.29,0.58,0.29,0.41,0.59
1031,Coffee County,AL,"Coffee County, AL",31.378987,-85.95684,Atlantic-S,4925.000,5079.000,4221.000,14666.000,14919.000,15875.000,19821.000,20128.000,20596.000,0.249,0.252,0.205,0,0,0,3048.33,3241.33,7.00,9.00,9.00,0.33,0.30,0.34,0.15,0.17,0.17,43145.00,42173.00,46931.00,0.83,0.84,0.87,50183.00,51180.00,51226.00,235.00,696.00,163.00,47.00,197.00,84.00,99.00,358.00,33.00,146.00,555.00,117.00,20911.00,19897.00,1014.00,0.05,20612.00,19159.00,1453.00,0.07,20402.00,19167.00,1235.00,0.06,0.53,0.18,0.01,0.06,0.75,0.05,2.31,2.46,0.99,0.98,12115.00,12724.00,22679677.00,27470852.00,87690316.00,99858887.00,73.60,679.00,0.26,0.39,0.59,0.39,0.61,0.36,0.66,0.33,0.57,0.42,0.76,0.23,0.60,0.19,0.42,0.40,0.36,0.36,0.45,0.55,0.33,0.54,0.49,0.40,0.53,0.32,0.59,0.28,0.59,0.28,0.43,0.56
1033,Colbert County,AL,"Colbert County, AL",34.73148,-87.72596,Atlantic-S,9166.000,9703.000,7312.000,13936.000,14739.000,16746.000,23444.000,24843.000,24676.000,0.391,0.391,0.296,0,0,0,4700.67,6512.33,5.00,7.00,7.00,0.35,0.37,0.38,0.13,0.19,0.17,39947.00,37269.00,43057.00,0.77,0.74,0.80,54521.00,54493.00,54216.00,93.00,33.00,-79.00,9.00,17.00,13.00,52.00,68.00,32.00,61.00,85.00,45.00,25160.00,23523.00,1637.00,0.07,24026.00,21922.00,2104.00,0.09,23707.00,22045.00,1662.00,0.07,0.50,0.16,0.00,0.02,0.81,0.02,2.44,3.14,0.91,0.95,16613.00,19335.00,55723789.00,81439331.00,153628103.00,193170942.00,91.80,593.00,0.26,0.40,0.61,0.37,0.66,0.31,0.71,0.28,0.60,0.38,0.79,0.21,0.62,0.17,0.46,0.39,0.38,0.33,0.49,0.52,0.34,0.52,0.50,0.37,0.55,0.30,0.63,0.23,0.62,0.25,0.45,0.54
1035,Conecuh County,AL,"Conecuh County, AL",31.415613,-87.0021,Atlantic-S,3555.000,3429.000,3080.000,3439.000,3470.000,3420.000,7025.000,6943.000,6561.000,0.506,0.494,0.469,1,0,0,582.67,562.67,11.00,15.00,19.00,0.32,0.37,0.36,0.25,0.28,0.31,27068.00,26914.00,29101.00,0.52,0.53,0.54,13209.00,13007.00,12395.00,-19.00,-186.00,-202.00,0.00,1.00,2.00,-36.00,-163.00,-123.00,-36.00,-162.00,-121.00,4878.00,4421.00,457.00,0.09,4635.00,4082.00,553.00,0.12,4593.00,4197.00,396.00,0.09,0.33,0.46,0.00,0.02,0.54,0.01,2.08,1.89,0.91,0.93,2467.67,2773.33,4609116.00,4856248.00,18545246.00,23019249.00,15.60,850.00,0.23,0.46,0.69,0.29,0.71,0.26,0.76,0.23,0.67,0.32,0.80,0.20,0.65,0.12,0.49,0.36,0.42,0.27,0.52,0.48,0.37,0.44,0.53,0.30,0.57,0.24,0.62,0.19,0.62,0.19,0.49,0.50
1037,Coosa County,AL,"Coosa County, AL",32.955511,-86.23631,Atlantic-S,2191.000,2273.000,1782.000,3049.000,3248.000,3381.000,5282.000,5563.000,5230.000,0.415,0.409,0.341,0,0,0,604.00,583.33,7.00,11.00,13.00,0.33,0.39,0.40,0.16,0.26,0.19,36050.00,34391.00,34679.00,0.69,0.68,0.65,11758.00,11201.00,10581.00,0.00,-168.00,-106.00,-1.00,-3.00,0.00,-5.00,-127.00,-89.00,-6.00,-130.00,-89.00,4659.00,4274.00,385.00,0.08,4445.00,4029.00,416.00,0.09,4444.00,4171.00,273.00,0.06,0.36,0.31,0.00,0.02,0.70,0.02,4.82,4.99,0.86,0.87,1001.00,1005.00,5003074.00,5477387.00,7518428.00,8648230.00,17.70,651.00,0.25,0.42,0.63,0.34,0.64,0.31,0.70,0.28,0.59,0.39,0.77,0.21,0.62,0.14,0.45,0.39,0.37,0.30,0.50,0.50,0.37,0.47,0.52,0.33,0.55,0.27,0.62,0.22,0.62,0.22,0.48,0.51
1039,Covington County,AL,"Covington County, AL",31.251036,-86.41619,Atlantic-S,3158.000,3240.000,2387.000,12153.000,12444.000,13267.000,15439.000,15787.000,15873.000,0.205,0.205,0.150,0,0,0,2395.67,2045.33,5.00,7.00,9.00,0.34,0.32,0.34,0.19,0.24,0.21,33773.00,32138.00,36149.00,0.65,0.64,0.67,37801.00,37842.00,37458.00,36.00,-224.00,-203.00,0.00,2.00,2.00,27.00,-158.00,-110.00,27.00,-156.00,-108.00,16800.00,15803.00,997.00,0.06,16345.00,14978.00,1367.00,0.08,15392.00,14315.00,1077.00,0.07,0.46,0.13,0.00,0.02,0.84,0.01,2.11,1.96,0.99,0.97,10564.33,10028.33,21922215.00,19212715.00,83700991.00,84748541.00,36.70,1030.00,0.26,0.39,0.59,0.40,0.64,0.35,0.69,0.30,0.58,0.41,0.78,0.22,0.60,0.20,0.44,0.39,0.38,0.35,0.46,0.54,0.32,0.55,0.49,0.40,0.52,0.33,0.59,0.27,0.59,0.28,0.42,0.58
1041,Crenshaw County,AL,"Crenshaw County, AL",31.710365,-86.28929,Atlantic-S,2050.000,1938.000,1664.000,4331.000,4319.000,4513.000,6424.000,6291.000,6256.000,0.319,0.308,0.266,0,0,0,1197.67,1228.67,7.00,11.00,13.00,0.34,0.37,0.40,0.19,0.18,0.21,34402.00,34534.00,34445.00,0.66,0.68,0.64,13857.00,13920.00,13913.00,-41.00,17.00,37.00,9.00,9.00,10.00,-61.00,27.00,65.00,-52.00,36.00,75.00,6464.00,6105.00,359.00,0.06,6251.00,5732.00,519.00,0.08,6451.00,6063.00,388.00,0.06,0.38,0.24,0.02,0.02,0.72,0.02,3.71,3.71,0.99,0.99,2974.00,3218.33,9872232.00,11409364.00,24747209.00,29280783.00,22.80,609.00,0.26,0.41,0.61,0.37,0.63,0.33,0.69,0.30,0.58,0.40,0.77,0.22,0.61,0.16,0.44,0.39,0.37,0.32,0.48,0.52,0.35,0.50,0.51,0.35,0.54,0.29,0.61,0.24,0.60,0.25,0.46,0.53
1043,Cullman County,AL,"Cullman County, AL",34.155603,-86.83017,Atlantic-S,5052.000,5864.000,3798.000,28999.000,28896.000,32989.000,34555.000,35305.000,37608.000,0.146,0.166,0.101,0,0,0,4561.00,5676.00,7.00,9.00,11.00,0.30,0.35,0.33,0.15,0.18,0.17,39276.00,39395.00,39922.00,0.75,0.78,0.74,80476.00,80351.00,82471.00,66.00,-106.00,613.00,9.00,24.00,28.00,35.00,-83.00,560.00,44.00,-59.00,588.00,39096.00,37188.00,1908.00,0.05,35568.00,32835.00,2733.00,0.08,37715.00,35792.00,1923.00,0.05,0.48,0.01,0.00,0.04,0.95,0.03,1.94,2.27,1.00,1.00,21707.67,24610.33,47740397.00,65636894.00,177380972.00,223802586.00,109.40,735.00,0.25,0.39,0.56,0.43,0.59,0.39,0.65,0.35,0.55,0.44,0.75,0.24,0.53,0.25,0.40,0.41,0.34,0.39,0.41,0.59,0.30,0.59,0.45,0.46,0.48,0.39,0.55,0.34,0.55,0.34,0.39,0.61
1045,Dale County,AL,"Dale County, AL",31.3941,-85.61501,Atlantic-S,5286.000,5270.000,4413.000,13108.000,13886.000,13808.000,18601.000,19320.000,18633.000,0.284,0.273,0.237,0,0,0,5098.00,4295.33,7.00,11.00,11.00,0.34,0.36,0.37,0.15,0.19,0.22,42867.00,41568.00,41940.00,0.82,0.82,0.78,50360.00,50296.00,49226.00,113.00,177.00,-144.00,46.00,196.00,46.00,-23.00,-270.00,-274.00,23.00,-74.00,-228.00,19832.00,18760.00,1072.00,0.05,21370.00,19781.00,1589.00,0.07,20078.00,18890.00,1188.00,0.06,0.54,0.20,0.01,0.06,0.76,0.04,3.16,2.94,0.84,0.82,12498.67,11776.67,90575543.00,83317737.00,157476361.00,158309336.00,89.60,561.00,0.27,0.39,0.62,0.37,0.66,0.32,0.70,0.29,0.60,0.39,0.78,0.21,0.62,0.18,0.46,0.38,0.40,0.34,0.48,0.52,0.34,0.53,0.50,0.39,0.54,0.31,0.61,0.26,0.60,0.27,0.44,0.56
1047,Dallas County,AL,"Dallas County, AL",32.379942,-87.06556,Atlantic-S,14612.000,13986.000,12836.000,6288.000,6798.000,5789.000,20964.000,20852.000,18745.000,0.697,0.671,0.685,1,1,1,3030.67,3027.33,5.00,7.00,9.00,0.40,0.42,0.41,0.30,0.36,0.35,27992.00,25859.00,26602.00,0.54,0.51,0.50,43820.00,42748.00,40008.00,0.00,-459.00,-885.00,3.00,-2.00,-3.00,-55.00,-550.00,-793.00,-52.00,-552.00,-796.00,15473.00,13758.00,1715.00,0.11,16746.00,14583.00,2163.00,0.13,15530.00,14071.00,1459.00,0.09,0.42,0.70,0.01,0.01,0.30,0.01,2.52,2.68,0.93,0.94,10499.33,10223.33,35865331.00,35657153.00,87708767.00,90258685.00,44.80,979.00,0.29,0.41,0.77,0.22,0.75,0.21,0.77,0.21,0.70,0.28,0.82,0.16,0.74,0.06,0.55,0.31,0.51,0.19,0.63,0.37,0.46,0.35,0.63,0.21,0.67,0.16,0.71,0.12,0.70,0.13,0.60,0.39
